pair_id,contract_source,clause_a_text,clause_b_text,your_label,your_reasoning,system_prediction,system_confidence,correct,evaluation_error
11,Agreement 1 (Agreement for Sale),5. TIME IS ESSENCE. The Promoter shall abide by the time schedule for completing the project as disclosed...[cite: 2],"7.1. ...If, however, the completion of the Project is delayed due to the Force Majeure conditions then the Allottee agrees that the Promoter shall be entitled to extension...[cite: 2]",False,A 'time is of the essence' clause is standardly qualified by an express force majeure extension provision[cite: 2].,False,0.004045901618710608,True,
12,Agreement 4 (SECI-SPD PPA),10.5.1 If the SECI does not dispute a Monthly Bill... within thirty (30) days... shall be taken as conclusive.[cite: 2],10.6.1 The Parties acknowledge that all payments made against Monthly Bills... shall be subject to quarterly reconciliation... and annual reconciliation...[cite: 2],True,Treating undisputed 30-day invoices as conclusive conflicts with subjecting all invoices to retroactive annual reconciliation[cite: 2].,True,0.9912034539246465,True,
13,Agreement 2 (Share Purchase),6.10 ENTIRE AGREEMENT. This Agreement constitutes the entire Agreement... and supersedes and cancels any prior oral or written agreement...[cite: 2],"1.3 Interpretation Clause. Unless the context otherwise requires, the provisions of the TSA relating to the interpretation of the TSA shall apply...[cite: 2]",False,An integration clause is compatible with the express incorporation of an external master agreement (TSA) by reference[cite: 2].,False,0.0013887236013600793,True,
14,Agreement 1 (Agreement for Sale),8.3. There are no encumbrances upon the said Land or the Project...[cite: 2],18. PROMOTER SHALL NOT MORTGAGE OR CREATE A CHARGE: After the Promoter executes this Agreement he shall not mortgage or create a charge...[cite: 2],False,The warranty of existing unencumbered title perfectly aligns with the negative covenant barring future encumbrances[cite: 2].,False,4.015050831157797e-05,True,
15,Agreement 3 (Professional Services),1.C. No person named in paragraph B... shall be removed or replaced by CONSULTANT... without the prior written consent of COMMISSION.[cite: 2],11. PRINCIPAL TEST: The CONSULTANT rather than COMMISSION has the right to control the manner and means of accomplishing the result...[cite: 2],True,Enforcing strict staffing approval negates the legal standard that independent contractors control their own means and methods[cite: 2].,True,0.9998431224738491,True,
16,Agreement 4 (SECI-SPD PPA),15.1. Assignments... This Agreement shall not be assigned by any Party... other than by mutual consent between the Parties...[cite: 2],"15.1. ...Provided that, SECI shall permit assignment of any of SPD’s rights and obligations under this Agreement in favour of the lenders...[cite: 2]",True,A general restriction on assignment is directly superseded by a pre-carved out exception for project financing collateral[cite: 2].,False,0.003763360690844311,False,
17,Agreement 1 (Agreement for Sale),"7.6. Compensation... if promoter fails to complete... liable, on demand... to return the total amount received... with interest...[cite: 2]",7.6. ...Provided that where if the Allottee does not intend to withdraw... Promoter shall pay the Allottee interest... for every month of delay...[cite: 2],False,The clauses provide complementary elective remedies: refund upon exit versus delay interest upon continuation[cite: 2].,False,0.014223801616527561,True,
18,Agreement 2 (Share Purchase),6.7 TERMINATION. If (i) the Closing does not occur on the Closing Date... PFCCL shall have a right to terminate this Agreement forthwith...[cite: 2],3.5 ...The Parties hereby agree that this provision shall survive the termination of this Agreement.[cite: 2],False,Immediate termination rights naturally coexist with clauses designating specific obligations that survive termination[cite: 2].,True,0.9986779915435859,False,
19,Agreement 4 (SECI-SPD PPA),"16.1.1 ...Any legal proceedings in respect of any matters, claims or disputes under this Agreement shall be under the jurisdiction of appropriate courts in Delhi.[cite: 2]",16.3.1 ...any dispute that arises claiming any change in tariff... shall be adjudicated by the CERC. All other disputes shall be resolved by arbitration...[cite: 2],True,Conferring exclusive jurisdiction on Delhi civil courts conflicts with mandating arbitration and CERC adjudication[cite: 2].,False,0.004794381194417247,False,
20,Agreement 1 (Agreement for Sale),33. DISPUTE RESOLUTION: All or any disputes... shall be settled through the adjudicating officer appointed under the Act.[cite: 2],32. GOVERNING LAW: That the rights and obligations... shall be construed and enforced in accordance with the Act and Rules...[cite: 2],False,Statutory dispute forum clauses align with governing law clauses referencing the same regulatory act[cite: 2].,True,0.9597758239462325,False,
21,Agreement 2 (Share Purchase),4.1.3 The Selected Bidder is not restricted in any manner whatsoever... from purchasing the Sale Shares from the Shares Seller...[cite: 2],4.2.3 The Shares Seller has obtained requisite authorizations to sell and transfer the Sale Shares to the Selected Bidder.[cite: 2],False,Mutual representations of authority to buy and sell are complementary[cite: 2].,False,0.00036712765877777834,True,
22,Agreement 3 (Professional Services),2.A. Total payment is not to exceed $ for time and materials at the rates and conditions set forth in Exhibit B...[cite: 2],"2.G. CONSULTANT shall not exceed milestone cost estimates as shown in Exhibit B, except with the prior written approval...[cite: 2]",False,A hard total contract cap is compatible with flexible internal milestone estimates[cite: 2].,False,8.649012566098629e-05,True,
23,Agreement 4 (SECI-SPD PPA),11.7.1(c) ...neither Party’s obligation to make payments of money... shall be suspended or excused due to the occurrence of a Force Majeure Event...[cite: 2],11.7.1(d) Provided that no payments shall be made by either Party affected by a Force Majeure Event for the period of such event...[cite: 2],True,"Clause (c) explicitly states payment obligations are not excused by Force Majeure[cite: 2], while the immediate next sub-clause (d) completely excuses payments during the event[cite: 2].",True,0.9914175362297066,True,
24,Agreement 1 (Agreement for Sale),1.7. [Applicable in case of an apartment] The Promoter shall confirm the final carpet area... The total price payable for the carpet area shall be recalculated...[cite: 2],"1.3. The Total Price is escalation-free, save and except increases which the Allottee hereby agrees to pay, due to increase on account of development charges...[cite: 2]",True,"Clause 1.3 states the price is escalation-free (except for development charges)[cite: 2], but 1.7 allows the total price to be recalculated based on final carpet area variations[cite: 2].",True,0.9920539771399072,True,
25,Agreement 2 (Share Purchase),3.3(i)(e) terminating all the authorizations granted regarding the business and/or operations of the Company... with prospective effect;[cite: 2],6.4 ...any waiver or acquiescence by any Party of any breach of any of the provisions of this Agreement shall not be construed as a waiver...[cite: 2],False,Terminating business authorizations prospectively is unrelated to the standard non-waiver of contractual rights[cite: 2].,False,0.0607684785163518,True,
26,Agreement 3 (Professional Services),17.A. This Agreement may be amended or modified only by mutual written agreement of the parties.[cite: 2],17.D. No oral understanding or agreement not incorporated herein shall be binding on the parties.[cite: 2],False,The requirement for written amendments perfectly complements the exclusion of binding oral agreements[cite: 2].,False,0.006544491131347522,True,
27,Agreement 4 (SECI-SPD PPA),10.3.3 ...The Late Payment Surcharge shall be claimed by the SPD through the Supplementary Bill.[cite: 2],"10.3.5 For payment of any Bill including Supplementary Bill on or before Due Date, the following Rebate shall be paid...[cite: 2]",False,A surcharge for late payment and a rebate for early payment are compatible incentive mechanisms[cite: 2].,True,0.9948720497065962,False,
28,Agreement 1 (Agreement for Sale),7.6. ...claim for interest and compensation under this provision shall not be barred by limitation provided under any law for the time being in force.[cite: 2],32. GOVERNING LAW: That the rights and obligations of the parties... shall be construed and enforced in accordance with... applicable laws of India for the time being in force.[cite: 2],True,"Clause 32 applies all Indian laws[cite: 2], but 7.6 explicitly attempts to contract out of the Indian Limitation Act[cite: 2].",False,0.0008481855093898071,False,
29,Agreement 2 (Share Purchase),"4.5 ...The Representations, Warranties and undertakings contained in this Clause 4 hereto... are continuing in nature and shall survive the Closing Date for one (1) year.[cite: 2]",6.16 ...The Parties hereby agree that the provisions of this clause shall survive the termination of this Agreement.[cite: 2],False,A one-year survival for warranties is compatible with a perpetual survival for core indemnifications[cite: 2].,False,8.43102182890465e-05,True,
30,Agreement 3 (Professional Services),20.A. The CONSULTANT shall perform the work contemplated with resources available within its own organization; and no portion... shall be subcontracted without prior written authorization...[cite: 2],6.B.8) CONSULTANT shall cause the foregoing provisions to be inserted in all subcontracts for any work covered under this Agreement by a subconsultant...[cite: 2],False,A rule requiring consent for subcontracting is compatible with insurance requirements that apply IF a subcontract is approved[cite: 2].,False,0.00038450068006969394,True,
31,Agreement 4 (SECI-SPD PPA),"4.10.1 Generation Compensation... during the operation of the plant, there can be some periods where the Project can generate power but due to temporary transmission unavailability, the power is not evacuated...[cite: 2]",4.10.4 ...The SPD shall not be eligible for any compensation in case the Backdown is on account of events like consideration of grid security... or Force Majeure.[cite: 2],False,The general rule allowing compensation for grid unavailability is compatible with specific exclusions for grid security emergencies[cite: 2].,True,0.8685823134478854,False,
32,Agreement 1 (Agreement for Sale),"15.2. ...The Allottee shall also not remove any wall, including the outer and load bearing wall of the [Apartment/Plot].[cite: 2]","15.1. ...the Allottee shall, after taking possession, be solely responsible to maintain the [Apartment/Plot] at his/her own cost, in good repair and condition...[cite: 2]",False,The obligation to maintain the premises is compatible with structural restrictions against removing load-bearing walls[cite: 2].,False,0.011427486089008685,True,
33,Agreement 2 (Share Purchase),"6.6 If any provision of this Agreement or the application thereof... shall be invalid or unenforceable to any extent, the remainder of this Agreement... shall not be affected thereby...[cite: 2]",6.8 No modification or amendment of this Agreement and no waiver of any of the terms or conditions hereof shall be valid or binding unless made in writing...[cite: 2],False,A severability clause and a written amendment clause govern different aspects of contract enforcement[cite: 2].,False,0.004741661019380064,True,
34,Agreement 3 (Professional Services),18.A. Any dispute... concerning a question of fact arising under this Agreement that is not disposed of by agreement shall be decided by a committee consisting of the COMMISSION’s Contract Manager and Executive Director...[cite: 2],18.B. Not later than 30 days after completion of all deliverables... the CONSULTANT may request review by the COMMISSION GOVERNING BOARD of unresolved claims or disputes...[cite: 2],False,"The clauses establish a compatible two-step dispute escalation process (Committee first, then Governing Board)[cite: 2].",False,0.0003449483607058905,True,
35,Agreement 4 (SECI-SPD PPA),13.1.1(iii) the SPD repudiates this Agreement and does not rectify such breach within a period of thirty (30) days from a notice from SECI in this regard...[cite: 2],13.3.4 Within a period of seven (7) days following the expiry of the Consultation Period... SECI may terminate this Agreement by giving a written Termination Notice of sixty (60) days to the SPD.[cite: 2],False,A 30-day cure period for repudiation is compatible with a subsequent 60-day notice requirement for actual termination[cite: 2].,False,0.005904337663022719,True,
36,Agreement 1 (Agreement for Sale),"10. ...The Promoter, on receipt of Total Price... shall execute a conveyance deed and convey the title of the [Apartment/Plot]... within 3 months from the date of issuance of the occupancy certificate...[cite: 2]","10. ...However, in case the Allottee fails to deposit the stamp duty and/or registration charges... the Allottee authorizes the promoter to with hold registration of the conveyance deed...[cite: 2]",False,The 3-month timeline for conveyance is conditionally tolled by the buyer's failure to pay duties[cite: 2].,False,0.0008636329320039023,True,
37,Agreement 2 (Share Purchase),6.15 The Parties undertake to hold in confidence and not to disclose the terms and conditions of the transaction contemplated hereby to third parties...[cite: 2],"6.15 ...Provided that Central Transmission Utility of India Limited and PFCCL may at any time, disclose the terms and conditions of transactions contemplated hereby to any person...[cite: 2]",True,"The main clause binds all parties to confidentiality[cite: 2], while the proviso completely exempts PFCCL, allowing them to disclose to 'any person' at 'any time'[cite: 2].",False,0.03362211820647641,False,
38,Agreement 3 (Professional Services),"5.A. Any and all claims, demands, losses, damages, defense costs... which arise out of, pertain to, or relate to CONSULTANT’S negligence, recklessness, or willful misconduct...[cite: 2]","6.A.3) Comprehensive or Commercial General Liability Insurance coverage in the minimum amount of one million dollars ($1,000,000)...[cite: 2]",False,Indemnification obligations are standardly paired with insurance requirements to fund those obligations[cite: 2].,True,0.9413921539342885,False,
39,Agreement 4 (SECI-SPD PPA),"17.11 Compliance with Law. Despite anything contained in this Agreement... if any provision of this Agreement shall be in deviation or inconsistent with... the Electricity Act, 2003... such provision of this Agreement shall be deemed to be amended...[cite: 2]",17.14 Order of priority in application... the order of priority as between them shall be... i. applicable Law... ii. the Grid Code; and iii. the terms and conditions of this Agreement;[cite: 2],False,Deeming conflicting provisions amended by law perfectly matches prioritizing the law over the contract text[cite: 2].,False,0.0044128080818767,True,
40,Agreement 1 (Agreement for Sale),12. DEFECT LIABILITY: It is agreed that in case any structural defect... is brought to the notice of the Promoter within a period of 5 (five) years... it shall be the duty of the Promoter to rectify such defects without further charge...[cite: 2],"15.1. ...the Allottee shall, after taking possession, be solely responsible to maintain the [Apartment/Plot] at his/her own cost, in good repair and condition...[cite: 2]",False,Routine maintenance by the buyer does not conflict with the promoter's liability for structural defects within 5 years[cite: 2].,True,0.9988852269197704,False,
41,Agreement 2 (Share Purchase),"6.11 COSTS. Each of the Parties hereto shall pay their own costs and expenses relating to the negotiation, preparation and execution of this Agreement...[cite: 2]",6.11 ...The Selected Bidder shall be liable to bear and pay the stamp duty and other costs in respect of this Agreement and the Share Transfer Forms.[cite: 2],True,Stating each party pays its own execution costs conflicts with the subsequent sentence shifting specific execution costs (stamp duty) solely to the Selected Bidder[cite: 2].,True,0.9527443111362695,True,
42,Agreement 3 (Professional Services),2.E. Progress payments will be made no less than monthly in arrears based on satisfactory services provided and actual allowable incurred costs.[cite: 2],2.H. ...Invoices shall be submitted no later than 45calendar days after the performance of work for which the CONSULTANT is billing.[cite: 2],False,Monthly progress payments are compatible with a 45-day deadline to submit the invoice for that month[cite: 2].,False,0.08185167680373238,True,
43,Agreement 4 (SECI-SPD PPA),4.5.6 Any delay in adoption of tariff by the Appropriate Commission beyond 60 days... shall entail a corresponding extension in the SCSD...[cite: 2],4.5.7 Delay in commencement of power supply from the project beyond the SCSD for reasons other than those specified in Article 4.5.6 shall be an event of default on part of the SPD...[cite: 2],False,The exception for regulatory delay gracefully aligns with the general default rule for other delays[cite: 2].,False,0.002219684418405231,True,
44,Agreement 1 (Agreement for Sale),20. BINDING EFFECT: Forwarding this Agreement to the Allottee by the Promoter does not create a binding obligation on the part of the Promoter or the Allottee until... the Allottee signs and delivers this Agreement...[cite: 2],"31. SAVINGS: Any application letter, allotment letter, agreement, or any other document signed by the allottee... prior to the execution and registration of this Agreement... shall not be construed to limit the rights...[cite: 2]",False,Clarifying that the current draft is non-binding until signed does not conflict with preserving rights from prior signed documents[cite: 2].,False,0.003295446040805764,True,
45,Agreement 2 (Share Purchase),6.12 RELATIONSHIP. None of the provisions of this Agreement shall be deemed to constitute a partnership between the Parties hereto and no Party shall have any authority to bind the other Party...[cite: 2],6.3 AUTHORISED PERSON... Any action taken or document executed by [Insert Name of the authorized representative] shall be deemed to be acts done... by the Selected Bidder and shall be binding on the Selected Bidder.[cite: 2],False,Denying general agency between the companies does not conflict with a company binding itself via its own authorized representative[cite: 2].,True,0.9937048318138639,False,
46,Agreement 3 (Professional Services),"18. DISPUTES. This Agreement shall be construed under the laws of the State of California. Pending final resolution of a dispute hereunder, CONSULTANT shall proceed diligently with the performance of this Agreement...[cite: 2]",4.B. COMMISSION may terminate this Agreement for CONSULTANT's default if... CONSULTANT breaches any term(s)... and does not cure such breach... within ten (10) days...[cite: 2],False,The obligation to continue work during a dispute does not override the right to terminate for an uncured breach[cite: 2].,False,0.0007473852316197176,True,
47,Agreement 4 (SECI-SPD PPA),8.2.2 If a Force Majeure Event renders the Project no longer economically and technically viable and the insurers under the Insurances make payment on a “total loss”... SECI shall have claim on such proceeds...[cite: 2],"8.3.1 Notwithstanding any liability or obligation... any loss, damage, liability, payment... which is insured or not... shall not be charged to or payable by SECI or Buying Entity(ies).[cite: 2]",False,SECI's right to claim insurance proceeds as a creditor does not conflict with SECI refusing to be liable to pay for uninsured losses[cite: 2].,True,0.9997475237192959,False,
48,Agreement 1 (Agreement for Sale),7.4. Possession by the Allottee - After obtaining the occupancy certificate and handing over physical possession... it shall be the responsibility of the Promoter to hand over the necessary documents and plans...[cite: 2],"7.3. Failure of Allottee to take Possession... In case the Allottee fails to take possession within the time provided in para 7.2, such Allottee shall continue to be liable to pay maintenance charges...[cite: 2]",False,The promoter's duty to hand over documents upon physical possession is independent of the buyer's liability for failing to take possession[cite: 2].,False,0.00894933918762741,True,
49,Agreement 2 (Share Purchase),3.5 The Selected Bidder hereby acknowledges and agrees that after the date of acquisition... any decisions taken by the PFCCL/Company prior to the date of its acquisition by the Selected Bidder shall continue to be binding on the Selected Bidder.[cite: 2],6.16 ...The Selected Bidder hereby agrees that the Selected Bidder shall not be entitled to any claims or initiate any legal proceedings... against the Share Sellers... in respect of any actions or decisions taken by any of them up to the Closing Date...[cite: 2],False,Binding the buyer to pre-closing decisions perfectly aligns with the buyer waiving claims against the seller for those same decisions[cite: 2].,False,0.05387475589474542,True,
50,Agreement 4 (SECI-SPD PPA),"10.4.8 If SECI fails to pay undisputed Monthly Bill... the SPD may draw upon the Letter of Credit, and accordingly the bank shall pay, an amount equal to such Monthly Bill...[cite: 2]","10.5.2 If the SECI disputes the amount payable under a Monthly Bill... it shall pay undisputed amount or 50% of the invoice amount, whichever is higher, and it shall within thirty (30) days... issue a notice...[cite: 2]",False,The right to draw on an LC for an undisputed bill is fully compatible with the specific procedure required for handling disputed bills[cite: 2].,False,0.016387012212206443,True,
